Feature,AUC,Brier Score,Accuracy,Log Loss,F1 Score,Precision,Recall,AUPR,Sample Size
Hybrid_Catboost,0.741997467138303,0.08404126882585886,0.674,0.2937210280440546,0.3034188034188034,0.19398907103825136,0.696078431372549,0.28372635040426786,4523
Blood_Type_A,0.6182432432432432,0.07389592501543499,0.6677018633540373,0.279168165718521,0.2302158273381295,0.1415929203539823,0.6153846153846154,0.1446203488506175,322
Blood_Type_AB,0.7647058823529411,0.03148714825939382,0.6,0.14663818302362797,0.125,0.06666666666666667,1,0.1111111111111111,35
Blood_Type_B,0.7603305785123967,0.08062061443386861,0.6865671641791045,0.28087256672421246,0.27586206896551724,0.17777777777777778,0.6153846153846154,0.3072125837022172,134
Blood_Type_O,0.6515261102271083,0.10354411439160628,0.6358267716535433,0.360254022244399,0.27450980392156865,0.18134715025906736,0.5645161290322581,0.24783926979734788,508
CHD_NoSurgery,0.9444444444444444,0.09152532298354549,0.75,0.28443780544466285,0.5,0.3333333333333333,1,0.6072751322751323,48
CHD_Surgery,0.6553664921465969,0.11440599307350809,0.6425339366515838,0.3907942954096635,0.30701754385964913,0.20833333333333334,0.5833333333333334,0.2511207153456366,442
DCM,0.5997586484312148,0.058363763734277756,0.6343490304709142,0.23486923991515588,0.14285714285714285,0.08333333333333333,0.5,0.1758976917044743,361
Dialysis,0.4285714285714286,0.31969245819257436,0.5454545454545454,1.0937939185510994,0.2857142857142857,0.3333333333333333,0.25,0.5179924242424243,11
ECMO_Reg,0.761969904240766,0.20297275897894132,0.65,0.6030770846358169,0.5882352941176471,0.4411764705882353,0.8823529411764706,0.5799533086892046,60
Inotrop,0.6306775874906925,0.09919690391808464,0.6143497757847534,0.34866868146915003,0.25862068965517243,0.16574585635359115,0.5882352941176471,0.20742004937724595,446
Myocard,0.838095238095238,0.10819964496562778,0.7073170731707317,0.34493240597238317,0.45454545454545453,0.3125,0.8333333333333334,0.5904431216931216,41
Race_Asian,0.48,0.10646729550583191,0.6222222222222222,0.38331988693229585,0.19047619047619047,0.125,0.4,0.13932861432861432,45
Race_Black,0.6210526315789474,0.09622726034983198,0.6197183098591549,0.3385359321824264,0.24299065420560748,0.15476190476190477,0.5652173913043478,0.18180968837085304,213
Race_Hispanic,0.6517783291976842,0.10525065276846512,0.6650943396226415,0.36688925441904036,0.2828282828282828,0.1917808219178082,0.5384615384615384,0.2424367477819946,212
Race_Other,0.8076923076923077,0.06273957857622864,0.6428571428571429,0.22309743459161993,0.2857142857142857,0.16666666666666666,1,0.2361111111111111,28
Race_White,0.6872431915910177,0.07773019790378756,0.6626746506986028,0.2840033022678201,0.2555066079295154,0.16022099447513813,0.6304347826086957,0.27590309420702136,501
VAD,0.6415989159891599,0.08055565383618063,0.6814814814814815,0.2922816413716047,0.18867924528301888,0.12195121951219512,0.4166666666666667,0.15947320766951534,135
Ventilator,0.7067932067932069,0.15841962529744918,0.6373056994818653,0.5067798671022419,0.39655172413793105,0.2987012987012987,0.5897435897435898,0.4248364744801621,193
